 * Serving Flask app "main.py"
 * Environment: production
   WARNING: Do not use the development server in a production environment.
   Use a production WSGI server instead.
 * Debug mode: off
 * Running on http://0.0.0.0:5000/ (Press CTRL+C to quit)
94.190.15.46 - - [18/Mar/2019 23:30:55] "GET / HTTP/1.1" 200 -
172.104.108.109 - - [18/Mar/2019 23:32:47] "GET / HTTP/1.1" 200 -
216.245.197.254 - - [18/Mar/2019 23:56:06] "HEAD /robots.txt HTTP/1.0" 404 -
107.170.203.223 - - [19/Mar/2019 00:09:12] "GET / HTTP/1.1" 200 -
180.253.66.189 - - [19/Mar/2019 01:08:13] "GET / HTTP/1.1" 200 -
51.15.92.133 - - [19/Mar/2019 02:41:56] "GET / HTTP/1.1" 200 -
199.249.230.79 - - [19/Mar/2019 04:55:18] "GET / HTTP/1.1" 200 -
34.212.85.126 - - [19/Mar/2019 05:17:00] "GET / HTTP/1.1" 200 -
138.197.201.39 - - [19/Mar/2019 05:26:29] "GET /administrator/index.php HTTP/1.1" 404 -
103.47.238.176 - - [19/Mar/2019 06:15:42] "GET / HTTP/1.1" 200 -
36.79.44.84 - - [19/Mar/2019 06:47:13] "GET / HTTP/1.1" 200 -
178.32.147.150 - - [19/Mar/2019 07:34:48] "GET / HTTP/1.1" 200 -
177.11.142.37 - - [19/Mar/2019 08:16:14] "GET / HTTP/1.1" 200 -
109.86.38.248 - - [19/Mar/2019 09:30:53] "GET / HTTP/1.1" 200 -
164.52.24.163 - - [19/Mar/2019 09:51:28] "GET / HTTP/1.1" 200 -
198.167.223.38 - - [19/Mar/2019 12:32:55] "GET / HTTP/1.1" 200 -
41.242.111.170 - - [19/Mar/2019 14:07:39] "GET / HTTP/1.1" 200 -
179.127.118.164 - - [19/Mar/2019 14:08:36] "GET / HTTP/1.1" 200 -
88.232.227.192 - - [19/Mar/2019 14:31:44] "GET / HTTP/1.1" 200 -
198.108.66.16 - - [19/Mar/2019 15:39:10] "GET / HTTP/1.1" 200 -
84.45.226.66 - - [19/Mar/2019 17:24:39] "GET / HTTP/1.1" 200 -
69.162.127.162 - - [19/Mar/2019 19:10:28] "HEAD /robots.txt HTTP/1.0" 404 -
179.110.115.53 - - [19/Mar/2019 21:18:11] "GET / HTTP/1.1" 200 -
66.249.64.78 - - [19/Mar/2019 22:12:45] "GET /robots.txt HTTP/1.1" 404 -
66.249.64.80 - - [19/Mar/2019 22:12:46] "GET / HTTP/1.1" 200 -
66.249.64.80 - - [19/Mar/2019 22:12:49] "GET /favicon.ico HTTP/1.1" 404 -
66.249.64.78 - - [19/Mar/2019 22:19:57] "GET / HTTP/1.1" 200 -
45.119.212.150 - - [19/Mar/2019 22:28:54] "GET /wp-login.php HTTP/1.1" 404 -
66.249.64.78 - - [19/Mar/2019 22:30:08] "GET /katakana HTTP/1.1" 200 -
196.52.43.89 - - [19/Mar/2019 23:10:37] "GET / HTTP/1.0" 200 -
66.249.64.78 - - [20/Mar/2019 01:10:48] "GET /hiragana HTTP/1.1" 200 -
103.249.180.142 - - [20/Mar/2019 01:16:50] "GET / HTTP/1.1" 200 -
66.249.64.78 - - [20/Mar/2019 01:40:52] "GET /hiragana HTTP/1.1" 200 -
171.91.157.247 - - [20/Mar/2019 02:40:41] "GET / HTTP/1.1" 200 -
66.249.64.80 - - [20/Mar/2019 03:11:02] "GET /favicon.ico HTTP/1.1" 404 -
212.237.0.99 - - [20/Mar/2019 05:11:40] "GET /w00tw00t.at.blackhats.romanian.anti-sec:) HTTP/1.1" 404 -
